time,latitude,longitude,depth,mag,m_rr,m_tt,m_pp,m_rt,m_rp,m_tp,reflect_latitude,reflect_longitude
20200401122327100000,33.12,98.92,10.0,5.61,-1.51e+16,3.14e+17,-2.99e+17,-3.8e+16,-3.54e+16,1e+17,36.54,117.83
20200402021312000000,-7.93,125.7,16.2,5.47,7.2e+15,-8.4e+16,7.69e+16,-9.34e+16,-5.1e+16,-1.59e+17,14.5,131.04
20200402200903300000,20.67,144.77,111.0,5.02,-2.65e+16,2.14e+16,5.08e+15,-1.36e+16,-1.16e+16,-2.98e+16,28.73,141.51
20200402214241300000,-6.96,126.63,405.3,5.33,-7.21e+16,6.22e+16,9.9e+15,-1.02e+17,7.5e+15,-1.43e+16,14.47,131.43
20200404061824500000,54.83,166.18,14.0,5.47,1.83e+17,-2e+17,1.68e+16,3.48e+16,3.85e+16,5.14e+16,46.69,149.55
20200404092418400000,-19.4,-173.25,10.0,5.07,4.66e+16,-5.24e+15,-4.14e+16,1.01e+16,1.93e+16,-1.34e+16,9.53,164.35
20200405001523600000,-8.54,113.15,127.1,5.0,-2.05e+16,2.16e+16,-1.08e+15,3.25e+16,7.12e+15,-1.63e+15,14.3,124.03
20200405183710400000,1.41,126.42,36.3,6.02,1.28e+18,-3.07e+17,-9.75e+17,-3.06e+17,-3.08e+17,-4.93e+17,19.16,131.41
20200407062721900000,49.15,157.84,44.6,5.1,5.67e+16,-1.84e+16,-3.84e+16,9.55e+15,5.98e+15,-2.4e+16,43.43,146.75
20200407112908700000,-31.67,179.64,420.0,5.18,-7.82e+16,3.1e+16,4.72e+16,-3.14e+16,-9.9e+15,1.69e+16,2.13,159.64
20200407113206000000,-15.27,-173.26,10.0,5.13,8.35e+15,-5.85e+15,-2.5e+15,-2.85e+16,6.19e+15,5.58e+16,11.79,164.63
20200408100232500000,-15.72,-177.55,422.0,5.58,2.71e+17,-2.24e+17,-4.76e+16,3.43e+16,-9.98e+16,1.06e+17,10.83,162.63
20200409172626400000,-5.34,68.67,10.0,5.27,-9.44e+16,3.69e+16,5.74e+16,3.97e+16,-1.5e+15,-4.65e+16,18.81,98.89
20200410034621000000,-3.13,146.9,10.0,5.07,-1.49e+15,-1.84e+16,1.99e+16,-4.03e+15,1.19e+15,4.73e+16,16.88,142.79
20200410164456400000,20.47,122.11,160.0,5.93,5.98e+17,4.6e+16,-6.44e+17,3.78e+17,-6.82e+17,2.8e+16,28.78,129.2
20200410184549100000,5.61,126.5,74.1,5.16,2.58e+16,2.88e+15,-2.87e+16,-4.72e+16,3.9e+16,1.83e+16,21.23,131.45
20200411031920000000,28.1,142.67,10.0,5.17,5.85e+16,7.45e+15,-6.59e+16,2.88e+15,3.55e+16,-5.5e+14,32.47,140.29
20200411143637100000,38.05,-118.75,7.3,5.26,-1.36e+16,-7.66e+16,9.02e+16,-1.59e+16,-6.6e+15,4.88e+16,51.05,-171.14
20200412113318200000,-5.36,152.56,19.8,5.11,4.27e+16,-3.92e+16,-3.56e+15,4.11e+16,-1.36e+15,-5.91e+15,15.83,145.93
20200412122510100000,-4.21,151.93,10.0,5.08,-3.68e+16,3.71e+16,-3e+14,1.7e+16,-2.08e+16,-2.84e+16,16.41,145.58
20200413014251800000,48.23,154.33,46.8,5.05,4.74e+16,-8.09e+15,-3.93e+16,4.78e+15,7.96e+15,-1.66e+16,42.83,145.25
20200414010647900000,-30.39,-176.35,31.0,6.02,9.12e+17,-7.89e+17,-1.23e+17,-1.47e+17,-6.54e+17,-7.72e+17,3.45,161.58
20200414024626400000,45.33,149.99,51.2,5.12,4.74e+16,-1.94e+16,-2.8e+16,-4.86e+15,3.07e+16,-3.22e+16,41.24,143.44
20200414063149700000,7.17,143.3,10.0,5.13,-1.44e+16,5.73e+16,-4.29e+16,1.93e+16,7.77e+15,3.1e+16,22.0,140.78
20200414072755800000,-15.31,-176.43,10.0,5.21,-8.11e+15,4.03e+16,-3.22e+16,8.47e+15,-1.59e+15,7.24e+16,11.63,162.87
20200415070501900000,-15.19,-173.36,10.0,5.65,-1.82e+16,2.91e+16,-1.09e+16,-3.54e+17,1.23e+17,6.8e+15,11.83,164.58
20200415071904800000,26.28,128.92,10.0,5.03,3.51e+16,-1.28e+16,-2.23e+16,1.79e+16,2.04e+16,-1.58e+16,31.61,133.04
20200415072804400000,26.27,128.91,10.0,5.01,4.82e+16,-2.59e+16,-2.23e+16,7.02e+15,7.76e+15,-6.43e+15,31.61,133.03
20200415210338200000,1.11,126.68,41.9,5.75,-1.14e+16,3.74e+17,-3.62e+17,-4.16e+16,8e+16,-3.83e+17,19.0,131.55
20200415224216800000,-5.36,152.74,17.1,5.36,9.42e+16,-8.55e+16,-8.7e+15,1.03e+17,-9e+14,-1.37e+16,15.83,146.03
20200416052917600000,-13.06,167.06,182.5,5.07,3.29e+16,8.33e+15,-4.13e+16,-1.85e+16,-5.1e+14,3.12e+16,12.04,153.94
20200416082154800000,-16.29,178.38,10.0,5.29,-9.66e+16,2.51e+16,7.15e+16,-4.87e+16,1.41e+16,4.73e+16,10.91,159.95
20200416114524000000,22.8,94.03,10.0,6.14,1.32e+17,3.8e+17,-5.12e+17,-4.07e+17,1.9e+18,-3.97e+17,31.66,114.22
20200416173823400000,-10.36,161.24,49.0,5.05,3.69e+16,-2.34e+16,-1.34e+16,-2e+16,1.29e+16,2.42e+16,13.44,150.7
20200416212229800000,26.01,128.57,10.0,5.19,5.93e+16,-3.23e+16,-2.69e+16,4.14e+16,2.53e+16,-2.89e+16,31.48,132.85
20200417002244100000,56.2,-153.67,10.0,5.41,3.67e+16,-1.26e+16,-2.41e+16,1.37e+17,7.16e+16,-4.88e+16,51.71,164.99
20200418082537000000,27.13,140.13,453.0,6.59,-6.82e+18,-2.4e+17,7.05e+18,-4.29e+18,-2.4e+18,-4.68e+18,31.81,139.0
20200418092418200000,27.2,140.07,473.7,5.93,-5.17e+17,4.17e+17,1e+17,6.24e+17,-3.92e+17,-5.03e+17,31.84,138.97
20200418210907900000,-30.42,-177.66,35.2,5.06,3.82e+16,-2.66e+15,-3.55e+16,3.17e+15,3.17e+16,-9.87e+15,3.41,160.89
20200418221904600000,-30.36,-177.61,10.0,5.07,3.97e+16,8.5e+14,-4.05e+16,3.6e+14,2.95e+16,-1.34e+16,3.47,160.91
20200419130931100000,4.02,126.17,16.7,5.18,1.13e+16,3.14e+15,-1.44e+16,-1.8e+16,-1.11e+16,7e+16,20.49,131.28
20200419203905600000,38.9,142.01,38.0,6.44,3.69e+18,-2.1e+16,-3.67e+18,1.88e+18,3.75e+18,-1.15e+18,37.87,139.81
20200420003435200000,-15.32,167.57,113.0,5.3,-7.59e+16,-4.9e+15,8.08e+16,1.85e+16,-7.2e+16,2.63e+16,10.97,154.1
20200420035449600000,64.59,-17.66,10.0,5.0,3.91e+16,-2.75e+16,-1.16e+16,1.3e+16,1.79e+16,7.44e+15,73.4,114.08
20200420195922000000,-8.54,159.22,87.4,5.21,4.48e+16,-2.07e+16,-2.41e+16,-5.7e+16,-7.37e+15,4.35e+16,14.28,149.63
20200421041149400000,-23.42,-179.59,530.7,5.22,-7.59e+16,8.75e+16,-1.16e+16,-3.9e+15,1.66e+16,-4.3e+15,6.4,161.05
20200422065101600000,46.48,153.5,10.0,5.28,8.8e+16,-2.2e+16,-6.6e+16,2.12e+16,4.15e+16,-5.06e+16,41.91,144.98
20200422130029000000,-21.19,169.62,84.3,5.02,1.79e+16,1.59e+15,-1.95e+16,2.28e+16,-6.66e+15,3.12e+16,8.01,154.94
20200422202246500000,13.73,51.64,10.0,5.12,2.33e+15,4.82e+16,-5.06e+16,9.61e+15,8.69e+15,3.38e+16,32.73,89.5
20200422223125800000,-22.08,-175.5,39.7,5.56,7.52e+16,1.67e+17,-2.42e+17,-1.46e+17,-9.72e+16,1.46e+16,7.97,162.92
20200423044423100000,36.17,137.78,10.0,5.17,2e+15,1.28e+15,-3.27e+15,-5.87e+15,-4.17e+15,-7.13e+16,36.48,137.72
20200423195226500000,41.51,141.93,53.3,5.23,6.92e+16,-5.9e+15,-6.33e+16,2.45e+16,4.76e+16,-2.47e+16,39.18,139.73
20200424184423700000,-24.67,-179.95,495.4,5.27,-6.7e+15,1.87e+16,-1.2e+16,-7.3e+15,-1.01e+17,8.7e+15,5.78,160.7
20200425025305500000,-6.5,154.28,12.6,6.21,1.74e+18,-8.54e+17,-8.87e+17,1.46e+18,-1.22e+18,8.64e+17,15.29,146.87
20200426075253200000,-18.75,-177.88,616.8,5.21,-1.89e+16,7.25e+16,-5.36e+16,2.15e+16,-2.65e+16,-4.23e+16,8.82,162.49
20200426134357900000,-3.96,151.38,10.0,5.22,-2.32e+16,9.16e+16,-6.84e+16,2.1e+15,-1.83e+16,1.56e+16,16.52,145.28
20200426234844500000,5.66,126.9,59.3,5.27,1.01e+16,7.9e+16,-8.91e+16,2.6e+15,3.76e+16,4.73e+16,21.27,131.68
20200427084042800000,-3.73,151.47,10.0,5.52,-3.38e+16,2.41e+17,-2.07e+17,-2.69e+16,2.2e+15,7.49e+16,16.64,145.33
20200428001343200000,-16.39,-172.9,10.0,5.02,-4.19e+16,8.4e+14,4.11e+16,1.1e+15,-2.77e+15,1.07e+16,11.19,164.76
20200429154702800000,-17.48,-173.67,31.0,5.06,5.64e+15,-3.45e+15,-2.2e+15,-2.54e+16,4.21e+16,-4.29e+15,10.54,164.28
20200430031521400000,40.92,142.78,36.2,5.23,-2.55e+16,9.01e+16,-6.47e+16,1.27e+16,2.49e+16,-2.65e+16,38.89,140.15
20200430082026100000,1.23,99.6,17.1,5.03,8e+13,4e+15,-4.08e+15,5.59e+15,1.64e+15,4.33e+16,20.0,116.43
20200430212321800000,-2.4,138.73,58.9,5.1,5.3e+16,-3.34e+16,-1.96e+16,8.62e+15,-1.46e+16,2.83e+16,17.14,138.25
20200301181301800000,-20.69,-178.24,537.3,5.2,-7.8e+16,6.43e+16,1.38e+16,3.26e+16,-1.71e+16,-7.5e+15,7.91,162.03
20200301211920600000,11.34,124.63,10.0,5.43,-1.35e+16,1.69e+17,-1.56e+17,2e+15,2.86e+16,-5.87e+16,24.2,130.48
20200302003115900000,51.13,-179.86,23.7,5.72,4.16e+17,-4.09e+17,-7.6e+15,1.66e+17,9.94e+16,-1.49e+17,45.96,156.22
20200302081941700000,-18.8,169.41,10.0,5.11,-1.58e+16,-8.29e+15,2.41e+16,2.02e+16,-1.6e+15,-5.19e+16,9.34,154.9
20200303084158800000,51.04,-179.81,10.0,5.08,3.9e+16,-3.51e+16,-3.91e+15,2.68e+16,1.99e+16,-1.37e+16,45.91,156.25
20200304205717400000,-17.99,167.63,10.0,5.0,2.37e+16,2.86e+15,-2.66e+16,6.9e+15,-2.94e+16,3.74e+15,9.72,153.97
20200305100505900000,-3.44,145.36,10.0,5.28,3.7e+15,-9.7e+15,6e+15,-1e+14,2.15e+16,1.03e+17,16.71,141.93
20200305131145800000,-29.73,-176.21,10.0,5.33,-1.16e+17,7e+14,1.15e+17,5e+14,-2.92e+16,3.04e+16,3.83,161.72
20200305144813800000,-3.38,145.23,10.0,5.19,4.34e+15,-7.38e+15,3.04e+15,8.06e+15,2.03e+16,7.26e+16,16.74,141.86
20200307054345600000,-17.89,167.85,10.0,5.64,2.35e+17,4.5e+15,-2.4e+17,9.96e+16,-2.47e+17,4.08e+16,9.78,154.09
20200307113525400000,-7.38,128.7,157.5,5.23,6.22e+16,-8.13e+16,1.91e+16,3.2e+15,4.03e+16,3.12e+16,14.57,132.67
20200309025908500000,40.37,-125.19,10.0,5.87,-9.1e+15,-1.68e+17,1.77e+17,4.52e+16,-1.43e+16,-7.92e+17,50.32,-175.36
20200309063258600000,40.4,-125.24,10.0,5.04,-5.87e+15,3.57e+15,2.3e+15,-3.77e+15,-4.49e+15,-4.53e+16,50.32,-175.4
20200309094548100000,11.01,138.62,48.2,5.06,4.71e+16,-1.37e+16,-3.34e+16,8.18e+15,4.35e+15,-2.26e+16,23.87,138.19
20200309181209400000,32.8,85.55,10.0,5.35,-1.17e+16,-1.15e+17,1.27e+17,4.09e+16,-9.7e+15,2.67e+16,37.72,110.91
20200310054507700000,-17.44,-176.63,10.0,5.27,-5.2e+15,-9.02e+16,9.54e+16,9.1e+15,2.25e+16,3.4e+16,10.47,162.63
20200310101804500000,-6.78,106.68,10.0,5.01,-2.01e+16,1.81e+15,1.83e+16,3.46e+16,3.57e+15,1.5e+16,15.53,120.46
20200310140626100000,-5.85,103.01,22.2,5.67,2.42e+17,-1.94e+17,-4.75e+16,2.86e+17,-1.45e+17,1.19e+17,16.15,118.39
20200311151656000000,-6.95,155.46,28.4,5.35,1.04e+17,-8.28e+16,-2.09e+16,6.02e+16,-3.59e+16,6.81e+16,15.07,147.53
20200311195408500000,-19.33,-172.94,10.0,5.22,7.09e+16,5e+14,-7.14e+16,3.22e+16,3.49e+16,-1.21e+16,9.58,164.52
20200312125027600000,-19.1,-172.87,10.0,5.49,1.62e+17,-1.17e+16,-1.51e+17,5.84e+16,1.25e+17,-6.31e+16,9.71,164.58
20200312154402800000,32.72,85.34,10.0,5.47,-3.14e+16,-1.7e+17,2.01e+17,4.92e+16,-9.7e+15,5.06e+16,37.71,110.79
20200312154456500000,-16.17,178.33,28.5,5.02,-4.19e+16,1.22e+16,2.96e+16,-1.01e+15,-1.23e+15,2.09e+16,10.95,159.94
20200312171846200000,37.28,136.88,10.0,5.36,9.25e+16,3.8e+15,-9.63e+16,-3.7e+16,-8.89e+16,-2e+16,37.04,137.27
20200312220047900000,14.68,119.12,10.0,5.19,-5.8e+16,-9.15e+15,6.71e+16,-1.95e+16,3.68e+16,-6.1e+15,26.03,127.5
20200314100117000000,-27.37,-175.61,10.0,6.39,-4.25e+18,-9.8e+17,5.23e+18,-4.52e+17,1.46e+17,4.03e+17,5.12,162.31
20200314202748100000,-22.55,173.38,10.0,5.01,3.46e+16,-3.88e+16,4.16e+15,1.65e+16,1.84e+15,-6.5e+15,7.47,156.84
20200315210532400000,-10.47,118.3,10.0,5.24,-2.29e+16,2.17e+16,1.15e+15,6.81e+15,4.97e+16,7.53e+16,13.34,126.98
20200315220425400000,27.41,55.35,10.0,5.43,1.08e+17,-1.56e+17,4.83e+16,-4.28e+16,-1e+17,6.7e+15,39.77,93.91
20200315230936400000,-4.36,154.11,362.0,5.15,-6.07e+16,1.54e+16,4.53e+16,-4.21e+15,3.94e+16,-9.68e+15,15.95,146.95
