name,latitude,longitude
N.WNNH,45.4883,141.885
N.SFNH,45.3346,142.1185
N.WNWH,45.2531,141.6334
N.WNEH,45.2303,141.8806
N.SFSH,45.2163,142.2254
N.TYTH,45.1019,141.7831
N.HTBH,45.1001,142.4307
N.HNBH,45.0167,142.0795
N.NTBH,44.9387,142.2247
N.TSOH,44.8948,141.9251
N.UNNH,44.857,142.4868
N.ONPH,44.7745,142.2542
N.UNSH,44.7433,142.6039
N.NAWH,44.6617,142.0528
N.EBTH,44.6359,141.8187
N.BFNH,44.5973,142.3036
N.BFEH,44.5509,142.5736
N.OUMH,44.5276,142.8444
N.BFWH,44.4732,142.2725
N.NYRH,44.4376,142.4056
N.OPWH,44.4234,143.0264
N.OPEH,44.3843,143.2407
N.SWEH,44.3207,142.7656
N.SWWH,44.2921,142.6303
N.HONH,44.2803,142.1594
N.YBNH,44.2146,143.6202
N.TUNH,44.192,143.0767
N.HOCH,44.116,142.1414
N.TUSH,44.1146,143.0111
N.OREH,44.0974,141.9621
N.SRMH,44.0813,143.9455
N.SYNH,44.064,144.9935
N.ORWH,44.0254,141.7876
N.HOSH,43.9994,142.1258
N.WSMH,43.9754,142.2834
N.SYSH,43.9271,144.8075
N.MMBH,43.9144,144.1923
N.KMZH,43.8566,144.4574
N.KKAH,43.8546,142.7656
N.STKH,43.8494,143.0861
N.FGNH,43.8243,142.1594
N.NUMH,43.8203,141.9397
N.STNH,43.7851,145.0246
N.RBSH,43.7419,143.4514
N.BHRH,43.7227,144.1837
N.FGSH,43.6948,142.0776
N.STSH,43.6772,144.9618
N.OKEH,43.6352,143.51
N.NSTH,43.5508,144.9665
N.SUGH,43.5138,141.909
N.BEWH,43.5113,142.3906
N.BEEH,43.5038,142.6006
N.RKBH,43.4683,143.683
N.ANNH,43.4361,144.0844
N.TOBH,43.4087,141.5836
N.BKEH,43.3978,145.1224
N.BKWH,43.39,144.8021
N.SCNH,43.3847,144.6279
N.NFRH,43.3841,142.5245
N.AYEH,43.3822,143.8983
N.FRNH,43.3697,142.3409
N.SKNH,43.3337,142.9448
N.AYWH,43.2708,143.4317
N.TRWH,43.2556,144.2338
N.FBRH,43.2341,140.6227
N.MSAH,43.23,141.8978
N.SSTH,43.2204,141.6523
N.TREH,43.22,144.4285
N.SCSH,43.2139,144.6804
N.HNKH,43.2084,145.1168
N.SKSH,43.1739,142.9176
N.SNNH,43.1603,143.8936
